Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
Aroldis Chapman,PIT,0,53,48.2,4,4,,5,11,37,20,7,76,27,14.05,4.99,2.81,1.29,0.206,1.31,0.309,77.50%,3.7,3.73,369.3
Tanner Rainey,WSN,1,29,27,1,2,,5,12,24,15,4,31,15,10.33,5,2.07,1.33,0.231,1.44,0.29,68.90%,5,4.66,698.8
John McMillon,KCR,0,34,39.1,3,5,,5,13,32,21,5,51,29,11.68,6.64,1.76,1.15,0.216,1.55,0.293,70.40%,4.81,4.68,665.3
Gregory Santos,SEA,0,62,69.1,2,2,,4,11,63,26,6,79,17,10.26,2.21,4.65,0.78,0.23,1.15,0.302,72.60%,3.38,3.05,999
Orion Kerkering,PHI,0,56,57.2,4,2,,4,8,53,25,8,63,15,9.83,2.34,4.2,1.25,0.238,1.18,0.296,72.20%,3.9,3.76,999
Yennier Cano,BAL,0,66,68.2,3,2,,4,12,64,28,8,64,22,8.38,2.88,2.91,1.05,0.242,1.25,0.292,74.90%,3.67,4,335.6
Dany Jiménez,OAK,1,37,36,2,3,,4,11,30,17,5,44,22,11,5.5,2,1.25,0.224,1.44,0.294,75.60%,4.25,4.45,603.4
A.J. Minter,ATL,0,70,64,6,3,,3,12,55,26,8,77,19,10.83,2.67,4.05,1.13,0.227,1.16,0.299,73.20%,3.66,3.46,468.5
JoJo Romero,STL,4,38,58.2,5,4,,3,14,53,24,8,69,22,10.58,3.37,3.14,1.23,0.232,1.28,0.298,76.80%,3.68,3.9,681.3
Giovanny Gallegos,STL,0,55,56.2,4,3,,3,13,47,23,8,67,16,10.63,2.54,4.19,1.27,0.222,1.11,0.285,73.40%,3.65,3.68,541
Ryan Pressly,HOU,0,55,53.2,5,2,,3,13,46,20,7,62,14,10.39,2.35,4.43,1.17,0.225,1.12,0.289,75.70%,3.35,3.42,288
Jason Adam,TBR,0,56,54.1,4,2,,3,12,40,21,6,66,20,10.94,3.31,3.3,0.99,0.207,1.1,0.281,71.70%,3.48,3.75,316.4
Jonathan Loáisiga,NYY,0,42,51.1,5,4,,3,13,46,21,6,46,13,8.07,2.28,3.54,1.05,0.236,1.15,0.28,71.10%,3.68,3.92,700.2
Trevor Gott,OAK,0,53,51.1,2,3,,3,11,48,23,6,52,19,9.12,3.33,2.74,1.05,0.242,1.31,0.3,71.70%,4.04,4.03,723.2
Anthony Bender,MIA,1,44,42.2,2,3,,3,9,38,20,5,45,16,9.48,3.37,2.81,1.05,0.235,1.26,0.295,68.10%,4.22,4.07,735.4
Gregory Soto,PHI,1,62,57.2,4,4,,3,13,50,29,9,73,27,11.39,4.21,2.7,1.4,0.227,1.33,0.297,71.40%,4.52,4.31,604.3
Jimmy Lambert,CHW,7,40,54.2,2,4,,3,11,54,30,9,53,27,8.72,4.44,1.96,1.48,0.251,1.48,0.294,71.60%,4.94,5.05,999
Matt Moore,LAA,4,40,58.1,3,3,,3,14,56,30,9,59,25,9.11,3.86,2.36,1.39,0.249,1.39,0.299,71.60%,4.63,4.63,709.6
Joe Kelly,LAD,0,38,34.1,3,2,,3,12,29,17,5,44,17,11.55,4.46,2.59,1.31,0.227,1.34,0.304,71.80%,4.46,4.33,741.3
Daniel Bard,COL,0,46,44.2,3,4,,3,13,43,27,7,46,28,9.26,5.64,1.64,1.41,0.251,1.59,0.305,68.60%,5.44,5.45,737.6
Matt Strahm,PHI,8,51,75.2,7,5,,2,11,65,33,11,84,21,9.99,2.5,4,1.31,0.23,1.14,0.287,70.80%,3.92,3.88,483.4
Reynaldo López,ATL,7,52,76,7,4,,2,16,67,31,9,84,28,9.95,3.32,3,1.07,0.231,1.25,0.294,74.00%,3.67,3.77,471.6
A.J. Puk,MIA,1,54,58,5,5,,2,14,52,24,8,76,18,11.79,2.79,4.22,1.24,0.23,1.21,0.31,74.80%,3.72,3.57,385.7
Bryan Abreu,HOU,1,62,66.2,3,2,,2,16,48,24,7,94,33,12.68,4.45,2.85,0.94,0.197,1.21,0.287,77.20%,3.24,3.46,367.9
Griffin Jax,MIN,6,51,77,7,6,,2,12,70,36,10,79,24,9.23,2.81,3.29,1.17,0.237,1.22,0.291,68.80%,4.21,3.98,523.6
Scott Barlow,CLE,0,61,66,4,4,,2,13,53,26,8,85,25,11.59,3.41,3.4,1.09,0.214,1.18,0.29,74.90%,3.55,3.53,476.1
Erik Swanson,TOR,1,61,60,4,2,,2,13,52,24,8,68,19,10.2,2.85,3.58,1.2,0.228,1.18,0.289,75.30%,3.6,3.72,520.4
Brock Stewart,MIN,0,37,36.2,1,1,,2,14,28,13,4,52,15,12.75,3.68,3.47,0.98,0.206,1.17,0.3,77.50%,3.19,3.23,637
Josh Sborz,TEX,0,61,56.1,4,3,,2,14,51,25,8,66,22,10.55,3.52,3,1.28,0.233,1.3,0.297,74.40%,4,3.93,599.2
Julian Merryweather,CHC,0,56,56.2,3,2,,2,14,48,25,8,75,24,11.9,3.81,3.13,1.27,0.222,1.27,0.301,74.00%,3.97,3.82,524.4
Andrew Nardi,MIA,0,57,57.2,4,5,,2,12,51,25,7,67,23,10.45,3.59,2.91,1.09,0.231,1.28,0.299,73.20%,3.9,3.91,537
Jeff Hoffman,PHI,0,59,56.2,4,4,,2,12,46,26,8,65,24,10.32,3.81,2.71,1.27,0.223,1.23,0.286,71.40%,4.13,4.17,453.6
Joel Payamps,MIL,1,56,65,5,5,,2,12,60,29,9,64,24,8.86,3.32,2.67,1.25,0.24,1.29,0.288,74.20%,4.02,4.33,531.2
Scott McGough,ARI,1,47,60,4,4,,2,11,57,28,8,64,24,9.6,3.6,2.67,1.2,0.245,1.35,0.304,73.10%,4.2,4.11,999
Emilio Pagán,CIN,1,56,56.1,3,4,,2,12,52,29,10,57,19,9.11,3.04,3,1.6,0.243,1.26,0.286,70.20%,4.64,4.6,649.2
Seranthony Domínguez,PHI,0,57,52,6,5,,2,12,45,24,7,59,25,10.21,4.33,2.36,1.21,0.232,1.35,0.297,73.10%,4.15,4.24,662.4
Taylor Rogers,SFG,0,52,45.1,5,4,,2,14,41,20,6,58,17,11.52,3.38,3.41,1.19,0.233,1.28,0.313,72.60%,3.97,3.81,686.8
Nick Anderson,KCR,0,40,37.2,2,3,,2,11,38,17,5,36,10,8.59,2.39,3.6,1.19,0.257,1.27,0.308,73.20%,4.06,3.94,544.2
Chris Martin,BOS,0,49,43.1,3,2,,2,13,48,19,6,40,8,8.31,1.66,5,1.25,0.273,1.29,0.323,73.50%,3.95,3.83,491.4
Andrew Kittredge,STL,2,38,43,4,3,,2,12,44,19,6,32,9,6.7,1.88,3.56,1.26,0.26,1.23,0.29,71.70%,3.98,4.35,659.7
Adam Ottavino,NYM,0,57,52,4,3,,2,12,46,23,5,55,25,9.52,4.33,2.2,0.87,0.235,1.37,0.301,71.90%,3.98,4.12,648.6
Tommy Kahnle,NYY,2,48,43.1,2,2,,2,15,35,20,7,52,18,10.81,3.74,2.89,1.45,0.22,1.22,0.28,71.80%,4.16,4.34,694.8
Tyler Rogers,SFG,0,63,66,4,4,,2,12,67,29,8,51,15,6.95,2.05,3.4,1.09,0.261,1.24,0.298,72.00%,3.95,4.15,726
Lucas Sims,CIN,0,61,55,4,5,,2,14,43,30,8,66,32,10.8,5.24,2.06,1.31,0.219,1.36,0.287,67.40%,4.91,4.87,623.6
Andrew Chafin,DET,0,60,50.2,3,3,,2,11,45,24,7,55,22,9.76,3.91,2.5,1.24,0.236,1.32,0.295,71.70%,4.26,4.3,741.9
