Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
Nathan Eovaldi,TEX,23,23,131,8,7,,0,0,126,60,18,119,39,8.18,2.68,3.05,1.24,0.248,1.26,0.29,71.50%,4.12,4.23,208
Tyler Mahle,TEX,22,22,118,7,6,,0,1,107,55,17,119,42,9.08,3.2,2.83,1.3,0.238,1.26,0.288,71.90%,4.19,4.31,642.8
MacKenzie Gore,WSN,23,24,116,7,7,,0,0,107,55,16,129,49,10.01,3.8,2.63,1.24,0.237,1.34,0.297,72.60%,4.27,4.17,291.7
Aaron Civale,TBR,23,23,118.2,6,6,,0,0,108,52,15,111,32,8.42,2.43,3.47,1.14,0.238,1.18,0.284,70.60%,3.94,3.99,203.4
Clarke Schmidt,NYY,25,29,130.2,7,8,,0,0,126,64,19,129,42,8.88,2.89,3.07,1.31,0.245,1.29,0.292,70.00%,4.41,4.32,356.6
Drew Rasmussen,TBR,17,22,90.2,7,4,,0,1,78,33,8,87,25,8.63,2.48,3.48,0.79,0.228,1.14,0.283,73.00%,3.27,3.38,613.9
Chris Sale,ATL,18,18,91.1,6,4,,0,0,82,39,13,112,28,11.04,2.76,4,1.28,0.234,1.2,0.307,74.10%,3.84,3.8,137.8
Martín Pérez,PIT,20,30,129.2,6,8,,0,0,136,60,13,97,44,6.73,3.05,2.2,0.9,0.264,1.39,0.303,71.10%,4.16,4.2,590.5
Jeffrey Springs,TBR,15,27,89.2,6,4,,0,1,76,33,12,108,25,10.84,2.51,4.32,1.2,0.224,1.13,0.292,77.20%,3.31,3.46,498.1
Taj Bradley,TBR,29,31,137.2,9,8,,0,1,125,64,20,140,48,9.15,3.14,2.92,1.31,0.236,1.26,0.285,71.70%,4.18,4.24,252.4
Robert Gasser,MIL,24,25,126,5,6,,0,0,117,60,17,127,44,9.07,3.14,2.89,1.21,0.24,1.28,0.291,70.00%,4.29,4.3,999
Frankie Montas,CIN,23,24,129.2,7,9,,0,0,129,67,22,135,42,9.37,2.91,3.21,1.53,0.252,1.32,0.302,70.60%,4.65,4.47,335.8
Taijuan Walker,PHI,27,27,148.1,8,10,,0,0,149,77,20,116,54,7.04,3.28,2.15,1.21,0.258,1.37,0.292,68.60%,4.67,4.66,428.1
Quinn Priester,PIT,25,28,138.2,7,10,,0,1,137,72,16,116,55,7.53,3.57,2.11,1.04,0.251,1.38,0.293,67.20%,4.67,4.47,734
Lance McCullers Jr.,HOU,19,19,104.2,7,4,,0,1,87,42,10,110,46,9.46,3.95,2.39,0.86,0.222,1.27,0.283,73.90%,3.61,3.89,683.3
Garrett Whitlock,BOS,12,30,89.1,6,4,,1,13,86,37,11,94,19,9.47,1.91,4.95,1.11,0.247,1.18,0.309,72.50%,3.73,3.49,379.1
Bryce Elder,ATL,29,29,157.2,9,6,,0,0,154,74,19,130,59,7.42,3.37,2.2,1.08,0.252,1.35,0.292,71.40%,4.22,4.45,406.1
Lance Lynn,STL,25,25,141.1,8,10,,0,0,141,70,21,132,48,8.41,3.06,2.75,1.34,0.254,1.34,0.298,70.80%,4.46,4.49,309
Darren McCaughan,MIA,22,24,132.2,6,7,,0,1,136,64,18,102,30,6.92,2.03,3.4,1.22,0.259,1.25,0.291,68.90%,4.34,4.36,999
Miles Mikolas,STL,28,28,165,9,10,,0,0,175,80,25,115,37,6.27,2.02,3.11,1.36,0.268,1.28,0.292,71.20%,4.36,4.61,414.1
Jameson Taillon,CHC,25,26,136.2,7,8,,0,0,135,67,21,119,37,7.83,2.44,3.22,1.38,0.253,1.26,0.29,70.10%,4.41,4.43,315.4
Logan Allen,CLE,26,26,130.2,7,7,,0,0,124,59,17,122,46,8.4,3.17,2.65,1.17,0.245,1.3,0.291,72.50%,4.06,4.23,345.9
Louie Varland,MIN,23,28,133,7,7,,0,1,130,62,18,126,39,8.53,2.64,3.23,1.22,0.25,1.27,0.297,70.90%,4.2,4.11,312.6
Trevor Rogers,MIA,21,21,102,6,7,,0,0,99,46,12,103,34,9.09,3,3.03,1.06,0.248,1.3,0.306,71.40%,4.06,3.91,343.4
David Peterson,NYM,24,29,126.1,6,7,,0,1,120,63,15,138,58,9.83,4.13,2.38,1.07,0.242,1.41,0.307,70.10%,4.49,4.16,638.7
Gavin Stone,LAD,21,26,115,6,5,,0,1,111,57,16,115,41,9,3.21,2.8,1.25,0.246,1.32,0.297,69.40%,4.46,4.19,496.6
Marcus Stroman,NYY,25,26,138,10,8,,0,0,133,62,17,110,44,7.17,2.87,2.5,1.11,0.249,1.28,0.284,71.80%,4.04,4.31,271.6
Bailey Falter,PIT,22,27,113.2,5,7,,0,1,117,55,15,84,31,6.65,2.45,2.71,1.19,0.261,1.3,0.291,70.10%,4.35,4.39,723.4
Dane Dunning,TEX,24,30,145.2,7,9,,0,0,149,71,20,127,49,7.84,3.03,2.59,1.24,0.258,1.36,0.3,71.20%,4.39,4.49,369.3
Steven Matz,STL,19,25,103.2,6,6,,0,1,104,46,13,101,32,8.77,2.78,3.16,1.13,0.252,1.31,0.305,73.00%,3.99,3.98,356.8
Slade Cecconi,ARI,23,26,126.2,7,6,,0,1,127,58,16,101,33,7.17,2.34,3.06,1.14,0.256,1.26,0.292,70.50%,4.12,4.3,745
Bryan Woo,SEA,25,25,116,6,7,,0,1,103,53,15,115,34,8.92,2.64,3.38,1.16,0.234,1.18,0.283,69.00%,4.11,4.12,179.3
Andrew Painter,PHI,28,28,113,5,5,,0,0,108,56,16,109,40,8.68,3.19,2.73,1.27,0.247,1.31,0.295,69.30%,4.46,4.36,999
Ryne Nelson,ARI,26,28,143.2,7,8,,0,1,144,69,19,114,47,7.14,2.94,2.43,1.19,0.256,1.33,0.291,70.60%,4.32,4.47,612.6
JP Sears,OAK,26,28,143.1,7,9,,0,0,137,65,20,133,45,8.35,2.83,2.96,1.26,0.248,1.27,0.293,72.70%,4.08,4.34,377.5
Kutter Crawford,BOS,19,26,106.1,6,6,,0,1,104,53,15,103,33,8.72,2.79,3.12,1.27,0.252,1.29,0.302,69.00%,4.49,4.2,266.7
Cristian Javier,HOU,25,29,144,8,6,,0,0,120,65,21,147,59,9.19,3.69,2.49,1.31,0.225,1.24,0.27,72.90%,4.06,4.48,183.2
Pierson Ohl,MIN,19,22,111,7,8,,0,0,118,52,14,81,19,6.57,1.54,4.26,1.14,0.265,1.23,0.297,69.00%,4.22,4.06,999
Roansy Contreras,PIT,19,26,99.2,4,5,,0,4,93,48,12,96,34,8.67,3.07,2.82,1.08,0.242,1.27,0.292,68.10%,4.33,4.01,660.3
Mike Clevinger,,23,23,118.2,7,9,,0,0,117,60,18,104,39,7.89,2.96,2.67,1.36,0.254,1.31,0.292,69.60%,4.55,4.64,410.1
Kyle Hendricks,CHC,25,25,132.2,7,8,,0,0,140,65,20,103,32,6.99,2.17,3.22,1.36,0.266,1.3,0.297,70.80%,4.41,4.52,438.7
Kyle Gibson,STL,27,27,149.2,8,10,,0,0,155,75,18,119,57,7.15,3.43,2.09,1.08,0.261,1.42,0.3,70.10%,4.51,4.51,433.2
Richard Fitts,BOS,25,25,130.2,7,8,,0,0,142,67,18,104,37,7.16,2.55,2.81,1.24,0.27,1.37,0.307,69.60%,4.61,4.4,999
Mitch Spence,OAK,25,26,135.2,6,8,,0,0,140,63,15,105,44,6.96,2.92,2.39,0.99,0.26,1.36,0.298,71.20%,4.18,4.27,999
Tyler Anderson,LAA,23,25,132.1,6,7,,0,0,134,68,21,118,40,8.03,2.72,2.95,1.43,0.258,1.32,0.297,69.20%,4.63,4.56,593.8
Stephen Strasburg,WSN,15,15,89.1,5,6,,0,0,83,40,11,87,30,8.77,3.02,2.9,1.11,0.242,1.27,0.294,71.70%,4.03,4.05,999
Domingo Germán,,17,19,98,6,5,,0,0,86,45,15,100,26,9.18,2.39,3.85,1.38,0.232,1.14,0.278,69.20%,4.13,4.12,542.2
Cole Ragans,KCR,19,31,111.1,7,7,,0,0,103,50,13,113,44,9.14,3.56,2.57,1.05,0.24,1.32,0.297,72.20%,4.04,4.01,109.7
Paul Skenes,PIT,23,23,114.1,4,6,,0,0,110,58,14,88,40,6.93,3.15,2.2,1.1,0.252,1.31,0.287,66.70%,4.57,4.36,330.9
Reese Olson,DET,25,28,124,7,8,,0,0,115,60,15,119,52,8.64,3.77,2.29,1.09,0.241,1.35,0.291,69.90%,4.35,4.29,280.6
Mike Vasil,NYM,24,25,110.1,5,5,,0,0,107,54,14,102,41,8.32,3.35,2.49,1.14,0.248,1.34,0.295,70.10%,4.41,4.25,999
Jhony Brito,SDP,20,27,114,9,8,,0,1,109,51,14,92,33,7.26,2.61,2.79,1.11,0.247,1.25,0.283,71.10%,4.03,4.26,556.2
Jared Jones,PIT,25,26,119,6,7,,0,0,114,59,14,106,47,8.02,3.55,2.26,1.06,0.246,1.35,0.291,68.60%,4.46,4.41,999
Chris Paddack,MIN,14,15,68.2,5,4,,0,1,67,32,9,69,16,9.04,2.1,4.31,1.18,0.247,1.21,0.301,68.20%,4.19,3.69,296.5
Cody Bradford,TEX,21,28,112.1,7,9,,0,1,116,55,17,95,29,7.61,2.32,3.28,1.36,0.26,1.29,0.296,71.00%,4.41,4.41,679.7
Sean Manaea,NYM,15,29,113,6,7,,0,1,111,57,17,114,35,9.08,2.79,3.26,1.35,0.25,1.29,0.3,68.70%,4.54,4.26,323.5
Griffin Canning,LAA,19,20,107,6,7,,0,0,101,52,17,114,37,9.59,3.11,3.08,1.43,0.243,1.29,0.296,71.80%,4.37,4.34,273
Matt Waldron,SDP,20,24,116.1,7,6,,0,0,116,58,17,96,35,7.43,2.71,2.74,1.32,0.253,1.3,0.287,69.20%,4.49,4.54,749.1
Erick Fedde,CHW,25,25,133.1,9,11,,0,0,138,72,24,129,43,8.71,2.9,3,1.62,0.26,1.36,0.302,69.90%,4.86,4.7,397.9
Edwin Díaz,NYM,0,56,55,4,2,,35,1,36,16,4,87,18,14.24,2.95,4.83,0.65,0.181,0.98,0.296,76.40%,2.62,2.29,42.6
Nick Martinez,CIN,9,56,100.1,5,4,,0,1,97,45,13,105,36,9.42,3.23,2.92,1.17,0.246,1.33,0.304,73.20%,4.04,4.01,449.4
Yusei Kikuchi,TOR,26,27,135.2,7,7,,0,0,135,66,22,137,53,9.09,3.52,2.58,1.46,0.253,1.39,0.301,74.40%,4.38,4.63,237.4
Ian Anderson,ATL,24,24,121.2,8,7,,0,1,116,60,16,114,54,8.43,3.99,2.11,1.18,0.246,1.4,0.292,71.10%,4.44,4.45,745
Colin Rea,,21,24,112.2,5,5,,0,1,114,57,18,98,31,7.83,2.48,3.16,1.44,0.258,1.29,0.294,69.30%,4.55,4.5,515
Gavin Williams,CLE,27,27,131,6,7,,0,0,116,60,17,129,53,8.86,3.64,2.43,1.17,0.235,1.29,0.284,71.60%,4.12,4.35,167.8
Coleman Crow,MIL,19,19,101.1,5,4,,0,0,99,48,13,86,32,7.64,2.84,2.69,1.15,0.249,1.29,0.289,70.00%,4.26,4.35,999
Kyle Harrison,SFG,28,28,106.1,3,3,,0,0,90,50,13,127,53,10.75,4.49,2.4,1.1,0.224,1.35,0.294,71.30%,4.23,4.21,272.4
José Urquidy,HOU,18,21,103,6,5,,0,1,98,47,15,84,26,7.34,2.27,3.23,1.31,0.247,1.2,0.279,70.90%,4.11,4.36,486.2
Emmet Sheehan,LAD,19,25,101.1,6,4,,0,1,86,49,14,111,45,9.86,4,2.47,1.24,0.227,1.29,0.283,70.00%,4.35,4.37,262.9
Allan Winans,ATL,18,24,120.1,7,6,,0,1,123,58,16,100,35,7.48,2.62,2.86,1.2,0.259,1.31,0.299,70.10%,4.34,4.39,745.6
Josiah Gray,WSN,26,26,142.1,8,9,,0,0,130,71,23,138,63,8.73,3.98,2.19,1.45,0.24,1.36,0.281,72.10%,4.49,4.89,392.9
DL Hall,MIL,14,34,76.1,4,4,,0,1,63,33,10,99,37,11.68,4.36,2.68,1.18,0.217,1.31,0.293,74.40%,3.89,3.98,377
Michael Plassmeyer,PIT,18,21,93,4,7,,0,1,95,46,12,79,30,7.65,2.9,2.63,1.16,0.258,1.34,0.3,69.30%,4.45,4.43,999
Brandon Williamson,CIN,27,27,128.1,5,9,,0,1,130,72,20,116,57,8.14,4,2.04,1.4,0.257,1.46,0.297,68.60%,5.05,4.97,999
Brant Hurter,DET,23,25,107.2,5,7,,0,0,107,53,13,86,30,7.19,2.51,2.87,1.09,0.254,1.27,0.291,67.30%,4.43,4.29,999
Connor Phillips,CIN,27,28,114.2,4,7,,0,1,106,64,18,128,61,10.04,4.79,2.1,1.41,0.239,1.46,0.296,69.10%,5.02,4.87,599.9
Michael McGreevy,STL,27,27,137.1,7,7,,0,0,144,67,17,85,44,5.57,2.88,1.93,1.11,0.265,1.37,0.287,70.60%,4.39,4.61,999
Michael Lorenzen,,22,26,122.2,7,8,,0,0,119,64,18,101,42,7.41,3.08,2.4,1.32,0.253,1.31,0.288,67.70%,4.69,4.62,516.6
Cristian Mena,ARI,26,26,123.2,7,6,,0,0,121,57,15,110,53,8,3.86,2.08,1.09,0.25,1.41,0.295,73.20%,4.15,4.44,999
James Paxton,LAD,22,23,109.2,9,7,,0,1,108,55,19,116,43,9.52,3.53,2.7,1.56,0.251,1.38,0.301,74.00%,4.51,4.62,310.5
Tony Gonsolin,LAD,21,21,105.2,7,6,,0,0,94,50,15,88,36,7.49,3.07,2.44,1.28,0.24,1.23,0.274,69.70%,4.26,4.57,999
Ken Waldichuk,OAK,21,29,122.2,5,6,,0,1,114,59,14,123,55,9.02,4.03,2.24,1.03,0.241,1.38,0.297,70.30%,4.33,4.3,747.3
Janson Junk,MIL,22,25,117.2,7,7,,0,1,127,60,17,80,36,6.12,2.75,2.22,1.3,0.269,1.38,0.293,70.40%,4.59,4.77,999
Nick Pivetta,BOS,20,32,132.2,8,9,,0,1,123,67,21,138,49,9.36,3.32,2.82,1.42,0.243,1.3,0.293,70.10%,4.54,4.45,166.7
Drew Smyly,CHC,21,32,121,8,10,,1,11,122,61,20,116,41,8.63,3.05,2.83,1.49,0.256,1.35,0.299,71.90%,4.54,4.63,628.3
Jordan Wicks,CHC,25,25,110.1,5,6,,0,1,108,54,14,94,39,7.67,3.18,2.41,1.14,0.251,1.33,0.291,69.90%,4.41,4.37,449.1
Anthony Molina,COL,26,27,120.1,5,7,,0,0,143,68,17,71,36,5.31,2.69,1.97,1.27,0.287,1.49,0.307,67.70%,5.09,4.86,999
Cade Cavalli,WSN,17,17,81.2,5,5,,0,1,75,40,8,81,39,8.92,4.3,2.08,0.88,0.237,1.4,0.295,69.10%,4.41,4.2,660.9
Kenta Maeda,DET,22,23,103.2,5,7,,0,1,100,52,15,97,34,8.42,2.95,2.85,1.3,0.249,1.29,0.293,69.00%,4.51,4.34,246.2
Sawyer Gipson-Long,DET,20,23,104.1,7,9,,0,1,103,50,14,96,32,8.28,2.76,3,1.21,0.251,1.29,0.296,70.20%,4.31,4.19,397.7
Tyler Wells,BAL,20,32,113.2,6,6,,0,10,97,53,17,103,36,8.15,2.85,2.86,1.35,0.232,1.17,0.268,69.60%,4.2,4.42,362.4
Matthew Liberatore,STL,23,31,121.2,8,8,,0,1,118,59,15,108,50,7.99,3.7,2.16,1.11,0.248,1.38,0.293,70.70%,4.36,4.51,683.3
Alek Manoah,TOR,23,23,120.2,8,7,,0,0,109,60,16,108,46,8.05,3.43,2.35,1.19,0.239,1.28,0.279,67.90%,4.47,4.63,363.9
Dominic Hamel,NYM,24,25,110.1,6,7,,0,0,107,57,14,107,50,8.73,4.08,2.14,1.14,0.248,1.42,0.299,69.10%,4.65,4.46,999
Ben Brown,CHC,20,25,95.2,7,7,,0,0,88,45,12,96,41,9.03,3.86,2.34,1.13,0.238,1.35,0.291,71.30%,4.23,4.29,999
Chris Flexen,CHW,18,28,115,5,7,,0,1,124,62,16,92,43,7.2,3.37,2.14,1.25,0.268,1.45,0.304,69.20%,4.85,4.66,734.3
Joan Adon,WSN,24,25,119,5,8,,0,1,122,66,15,99,50,7.49,3.78,1.98,1.13,0.257,1.45,0.297,66.90%,4.99,4.67,999
Yu-Min Lin,ARI,23,23,107.1,5,5,,0,0,102,51,12,100,45,8.39,3.77,2.22,1.01,0.245,1.37,0.295,70.70%,4.28,4.35,999
Jack Flaherty,DET,23,25,127,6,8,,0,0,118,64,16,126,56,8.93,3.97,2.25,1.13,0.241,1.37,0.293,69.30%,4.54,4.44,382.8
Brandon Walter,BOS,16,27,103,4,4,,0,0,111,54,13,82,32,7.17,2.8,2.56,1.14,0.269,1.39,0.309,68.10%,4.72,4.44,999
Cade Povich,BAL,25,25,113.2,8,9,,0,0,105,56,15,115,50,9.1,3.96,2.3,1.19,0.239,1.36,0.291,70.10%,4.43,4.4,999
Randy Vásquez,SDP,21,25,108.1,6,7,,0,0,101,51,14,97,43,8.06,3.57,2.26,1.16,0.242,1.33,0.283,71.50%,4.24,4.56,567.4
Aaron Ashby,MIL,17,26,88.1,6,6,,0,1,81,40,11,100,43,10.19,4.38,2.33,1.12,0.235,1.4,0.299,74.60%,4.08,4.24,409.2
Carlos F. Rodriguez,MIL,24,25,115.2,6,8,,0,0,105,58,16,116,51,9.02,3.97,2.27,1.24,0.237,1.35,0.286,69.60%,4.51,4.63,999
Ryan Weathers,MIA,23,28,117.1,5,9,,0,1,126,62,15,94,47,7.21,3.61,2,1.15,0.267,1.47,0.306,69.70%,4.76,4.62,739.8
José Suarez,LAA,15,20,84.1,5,6,,0,1,81,42,12,82,31,8.75,3.31,2.65,1.28,0.248,1.33,0.296,70.40%,4.48,4.41,740.2
Nick Lodolo,CIN,18,18,83.2,3,4,,0,1,77,43,13,100,29,10.75,3.12,3.45,1.4,0.236,1.27,0.3,68.30%,4.62,4.39,247.4
Tommy Henry,ARI,21,22,111.2,5,5,,0,1,111,55,13,86,45,6.93,3.63,1.91,1.05,0.254,1.4,0.29,70.40%,4.43,4.54,736.1
Michael King,SDP,7,45,90.1,6,4,,0,1,72,35,13,119,34,11.86,3.39,3.5,1.3,0.213,1.17,0.286,77.40%,3.49,3.79,143.3
Tobias Myers,MIL,23,25,115.2,6,8,,0,0,114,59,18,108,43,8.4,3.34,2.51,1.4,0.251,1.36,0.293,70.60%,4.59,4.63,999
Evan McKendry,MIL,19,24,116.1,7,7,,0,0,119,57,17,89,31,6.89,2.4,2.87,1.32,0.259,1.29,0.289,69.70%,4.41,4.61,999
Ryan Feltner,COL,19,20,92.2,5,6,,0,0,96,53,14,83,38,8.06,3.69,2.18,1.36,0.261,1.45,0.303,67.30%,5.15,4.75,748.1
Drew Rom,STL,20,21,102,7,6,,0,1,100,47,12,88,37,7.76,3.26,2.38,1.06,0.25,1.34,0.293,71.50%,4.15,4.32,999
Hyun Jin Ryu,,17,17,86.1,6,5,,0,0,92,42,13,67,21,6.99,2.19,3.19,1.36,0.267,1.31,0.299,71.70%,4.38,4.43,489.9
Josh Winckowski,BOS,12,43,99,6,5,,2,15,102,48,12,90,33,8.18,3,2.73,1.09,0.259,1.36,0.308,70.20%,4.36,4.1,681.9
Will Warren,NYY,23,25,118.2,7,7,,0,0,114,60,16,103,46,7.81,3.49,2.24,1.21,0.246,1.35,0.284,69.00%,4.55,4.59,999
Daniel Lynch IV,KCR,20,20,96,5,7,,0,1,101,51,13,85,36,7.97,3.38,2.36,1.22,0.262,1.43,0.307,69.00%,4.78,4.49,728
Kyle Wright,KCR,21,22,109.2,7,8,,0,0,108,55,13,95,39,7.79,3.2,2.44,1.07,0.252,1.34,0.296,68.30%,4.51,4.35,750.7
Félix Bautista,BAL,0,59,62,7,2,,0,0,39,18,7,93,22,13.5,3.19,4.23,1.02,0.18,0.98,0.274,82.00%,2.61,2.84,999
Caleb Kilian,CHC,22,24,108.2,5,5,,0,1,113,57,12,87,42,7.2,3.48,2.07,0.99,0.26,1.43,0.301,67.30%,4.72,4.41,999
Daniel Espino,CLE,21,21,90.1,6,6,,0,0,80,41,12,104,45,10.37,4.49,2.31,1.2,0.23,1.38,0.293,74.90%,4.09,4.21,999
Drey Jameson,ARI,16,22,101,7,6,,0,0,98,45,12,94,36,8.38,3.21,2.61,1.07,0.247,1.33,0.297,72.50%,4.01,4.19,999
Connor Thomas,STL,18,22,108,6,6,,0,0,117,52,12,67,30,5.58,2.5,2.23,1,0.269,1.36,0.295,69.90%,4.33,4.46,999
Camilo Doval,SFG,0,66,66.1,7,4,,35,2,53,27,7,83,30,11.27,4.07,2.77,0.95,0.215,1.25,0.293,73.80%,3.67,3.71,55
